Representation dimensionality,Sentence length,Vocabulary size,Number of rules,Grammar width,Grammar depth,Noise ratio,Compositionality,Topological similarity
10,16,100,12,1,2,0.01,1.0124823323154273,0.015973297902401533
10,16,100,12,1,2,0.01,1.0124670508753646,0.024247414914772232
10,16,100,12,1,2,0.01,1.012508094306646,0.025314193851401285
10,16,100,12,1,2,0.01,1.0123984530756955,0.028694109989949777
10,16,100,12,1,2,0.01,1.012469766393024,0.03609357341422377
10,16,100,12,1,2,0.01,1.012480833149391,0.03034217302560663
10,16,100,12,1,2,0.01,1.0124097449380276,0.01731835361943368
10,16,100,12,1,2,0.01,1.012477989629452,0.021427765542974694
10,16,100,12,1,2,0.01,1.0125201498688683,0.025887671186393332
10,16,100,12,1,2,0.01,1.0124707470905971,0.023117570004319077
10,16,100,18,2,2,0.01,1.0092149376468855,-0.00018560707386259883
10,16,100,18,2,2,0.01,1.009221395367534,-0.005707215975657388
10,16,100,18,2,2,0.01,1.009233953682009,0.003686112499222593
10,16,100,18,2,2,0.01,1.0091717542656207,0.003257681441956509
10,16,100,18,2,2,0.01,1.0092148093416147,0.0035395516654913852
10,16,100,18,2,2,0.01,1.0092078023753632,0.0052739007157461115
10,16,100,18,2,2,0.01,1.0091932611301664,-0.00011327482241461841
10,16,100,18,2,2,0.01,1.0092267895645657,0.0066442680730380115
10,16,100,18,2,2,0.01,1.0092381023922405,0.004727803387937897
10,16,100,18,2,2,0.01,1.0092295032917638,0.0014370351334549334
10,16,100,28,3,2,0.01,1.006421544098998,0.0023714610517873973
10,16,100,28,3,2,0.01,1.0064314045037328,0.0027436959132250338
10,16,100,28,3,2,0.01,1.0064255466178993,0.0083821752106546
10,16,100,28,3,2,0.01,1.0064069740609454,0.008885950529223637
10,16,100,28,3,2,0.01,1.006423525112612,-0.001948223576886346
10,16,100,28,3,2,0.01,1.0064150387882498,0.00487756005831984
10,16,100,28,3,2,0.01,1.0064109069777671,-2.0826426072067303e-05
10,16,100,28,3,2,0.01,1.0064334339353738,0.0066737733733095396
10,16,100,28,3,2,0.01,1.0064276610640146,0.0015090818384684089
10,16,100,28,3,2,0.01,1.0064340219608892,0.004312085651760093
10,16,100,42,4,2,0.01,1.0045102353741289,0.00685040163343229
10,16,100,42,4,2,0.01,1.0045146279839272,0.006128825921073413
10,16,100,42,4,2,0.01,1.004507565908539,0.006115740402677691
10,16,100,42,4,2,0.01,1.0045021102525253,0.01066870731888303
10,16,100,42,4,2,0.01,1.0045097124176692,0.00597319201116001
10,16,100,42,4,2,0.01,1.0045079983950613,0.006765725890344991
10,16,100,42,4,2,0.01,1.0045004374299482,0.008676763156210788
10,16,100,42,4,2,0.01,1.0045178229569784,0.015612194237784878
10,16,100,42,4,2,0.01,1.0045117961220456,0.0032903327792868516
10,16,100,42,4,2,0.01,1.0045179042400902,0.012364789329181487
