Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality,Topological similarity
1,10,64,1,0.01,1.001170111514154,0.9584510698338584
1,10,64,1,0.01,1.0011703774670004,0.9584444527702076
1,10,64,1,0.01,1.001163026580913,0.9596043667108785
1,10,64,1,0.01,1.001161015769486,0.9754814014919474
1,10,64,1,0.01,1.0011645741909114,0.9602067587546763
1,10,64,1,0.01,1.0011655087629983,0.9735034914513225
1,10,64,1,0.01,1.0011480976338305,0.9804244877220125
1,10,64,1,0.01,1.0011740190447678,0.9763297055276422
1,10,64,1,0.01,1.0011684259332279,0.9626962915515525
1,10,64,1,0.01,1.001164246958892,0.9508939775526537
2,10,64,1,0.01,1.0037986918696629,0.7683803839644556
2,10,64,1,0.01,1.0037677534764158,0.8330382334974693
2,10,64,1,0.01,1.0037697184383627,0.8865843723848273
2,10,64,1,0.01,1.003750919068004,0.8385583087718868
2,10,64,1,0.01,1.0037758703614432,0.8009943875429016
2,10,64,1,0.01,1.003775171859009,0.828621901842681
2,10,64,1,0.01,1.003730539563091,0.857829869931229
2,10,64,1,0.01,1.003748726537705,0.7763028742146657
2,10,64,1,0.01,1.0037711505426945,0.8466611786574201
2,10,64,1,0.01,1.00379218441477,0.8435242221186121
4,10,64,1,0.01,1.0122889182606114,0.6794686226199069
4,10,64,1,0.01,1.0122847164702813,0.7351007228355315
4,10,64,1,0.01,1.0120895739619205,0.6527891470279329
4,10,64,1,0.01,1.0121997545097523,0.7460913805207332
4,10,64,1,0.01,1.0122291215391763,0.7396396941851726
4,10,64,1,0.01,1.0122478351565207,0.769132602893021
4,10,64,1,0.01,1.0120439842917843,0.7599585848503108
4,10,64,1,0.01,1.0122123452103242,0.8024008215085339
4,10,64,1,0.01,1.012133503420804,0.7302590106982368
4,10,64,1,0.01,1.0123086586486796,0.7108422162835039
8,10,64,1,0.01,1.0400889149622892,0.610750336765014
8,10,64,1,0.01,1.0399365418610935,0.6018478776893788
8,10,64,1,0.01,1.0403716422969176,0.6234560588422178
8,10,64,1,0.01,1.0396438495717994,0.6310116734538136
8,10,64,1,0.01,1.04004047456024,0.6375633688951801
8,10,64,1,0.01,1.040028822185612,0.6040937263852294
8,10,64,1,0.01,1.039458289717138,0.529363208424169
8,10,64,1,0.01,1.039818527459716,0.6514197227918817
8,10,64,1,0.01,1.0391178794322187,0.5864521206745303
8,10,64,1,0.01,1.0394939368076108,0.5196642430278486
16,10,64,1,0.01,1.1270770873716627,0.38944757751359393
16,10,64,1,0.01,1.1271217496659398,0.46513749932487225
16,10,64,1,0.01,1.1249552802869396,0.5622248766813923
16,10,64,1,0.01,1.125752832833382,0.4570697131554837
16,10,64,1,0.01,1.1272189926401328,0.4697475437581635
16,10,64,1,0.01,1.127089891868265,0.4503630016693032
16,10,64,1,0.01,1.1251069849787274,0.4462549870385356
16,10,64,1,0.01,1.1265613204525313,0.498086841941079
16,10,64,1,0.01,1.1279350970173476,0.40076847132914306
16,10,64,1,0.01,1.1266945737709724,0.4268287314710195
32,10,64,1,0.01,1.3799748899362205,0.361595934737554
32,10,64,1,0.01,1.3783456839066375,0.3657889569796683
32,10,64,1,0.01,1.3701279519581442,0.32061407235104133
32,10,64,1,0.01,1.3731460263257012,0.3456252790369334
32,10,64,1,0.01,1.3596036402492349,0.32103106199752446
32,10,64,1,0.01,1.3803334670964635,0.36584611447363646
32,10,64,1,0.01,1.375551483473559,0.402375552665075
32,10,64,1,0.01,1.382109405783744,0.30452149801093886
32,10,64,1,0.01,1.382776120647872,0.2703831461298709
32,10,64,1,0.01,1.373749636476963,0.29310493263516024
64,10,64,1,0.01,2.0336119670213852,0.28512049861135164
64,10,64,1,0.01,2.038399476160651,0.275954935426876
64,10,64,1,0.01,2.0190364659653093,0.23828717832693885
64,10,64,1,0.01,2.023273503036686,0.24666667896815184
64,10,64,1,0.01,2.029491441319405,0.2957794656471747
64,10,64,1,0.01,2.0277501688324895,0.2586592896446419
64,10,64,1,0.01,2.0045537870176493,0.26321673245612165
64,10,64,1,0.01,2.021220332509337,0.24006597335599034
64,10,64,1,0.01,2.0179011416838204,0.25675590843699736
64,10,64,1,0.01,2.004800602734622,0.25783152674949317
