Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality,Topological similarity
16,10,16,1,0.01,1.5139966814665293,0.2884688409450359
16,10,16,1,0.01,1.5192104770086066,0.27463227520888844
16,10,16,1,0.01,1.5014003634681912,0.23682852643227845
16,10,16,1,0.01,1.5034240985552405,0.24166020108059016
16,10,16,1,0.01,1.5125298389603623,0.2971527012744281
16,10,16,1,0.01,1.511032362286857,0.25965603069776977
16,10,16,1,0.01,1.490306464175495,0.2642282542615979
16,10,16,1,0.01,1.50522539142034,0.24536303860274486
16,10,16,1,0.01,1.4976772947156043,0.2591799922713165
16,10,16,1,0.01,1.488334941075366,0.25908148078014326
16,10,32,1,0.01,1.2555054495135383,0.3668925284681716
16,10,32,1,0.01,1.2543452345982706,0.3651097161539808
16,10,32,1,0.01,1.2468874159340047,0.3280531460843439
16,10,32,1,0.01,1.2490797265328435,0.3373171236661259
16,10,32,1,0.01,1.2381516345985029,0.32236326571886
16,10,32,1,0.01,1.2555855560392162,0.3699164536611172
16,10,32,1,0.01,1.2522526251964061,0.4060818815184859
16,10,32,1,0.01,1.2572957606255224,0.30375055144528346
16,10,32,1,0.01,1.2571589895580106,0.2739212712463449
16,10,32,1,0.01,1.250176438218463,0.29673726613343243
16,10,48,1,0.01,1.169124266612285,0.4186335203024415
16,10,48,1,0.01,1.1715861414971669,0.35775168940075663
16,10,48,1,0.01,1.169092010010394,0.4113488010186661
16,10,48,1,0.01,1.1686940853681822,0.3770160307086433
16,10,48,1,0.01,1.1673338966336675,0.2953696588773574
16,10,48,1,0.01,1.1707506080455223,0.4908923690103564
16,10,48,1,0.01,1.1639801478330547,0.4197566794564943
16,10,48,1,0.01,1.1709437420656448,0.37484332472684007
16,10,48,1,0.01,1.170560843872997,0.35692972311548044
16,10,48,1,0.01,1.1704276381223044,0.45505057910988933
16,10,64,1,0.01,1.1270770873716627,0.38944757751359393
16,10,64,1,0.01,1.1271217496659398,0.46513749932487225
16,10,64,1,0.01,1.1249552802869396,0.5622248766813923
16,10,64,1,0.01,1.125752832833382,0.4570697131554837
16,10,64,1,0.01,1.1272189926401328,0.4697475437581635
16,10,64,1,0.01,1.127089891868265,0.4503630016693032
16,10,64,1,0.01,1.1251069849787274,0.4462549870385356
16,10,64,1,0.01,1.1265613204525313,0.498086841941079
16,10,64,1,0.01,1.1279350970173476,0.40076847132914306
16,10,64,1,0.01,1.1266945737709724,0.4268287314710195
16,10,80,1,0.01,1.1011536797345376,0.4021235934984143
