Representation dimensionality,Sentence length,Vocabulary size,Number of rules,Grammar width,Grammar depth,Noise ratio,Compositionality,Topological similarity,Composition method
10,16,100,28,3,2,0.01,1.006421544098998,0.0023714610517873973,linear
10,16,100,28,3,2,0.01,1.0064314045037328,0.0027436959132250338,linear
10,16,100,28,3,2,0.01,1.0064255466178993,0.0083821752106546,linear
10,16,100,28,3,2,0.01,1.0064069740609454,0.008885950529223637,linear
10,16,100,28,3,2,0.01,1.006423525112612,-0.001948223576886346,linear
10,16,100,28,3,2,0.01,1.0064150387882498,0.00487756005831984,linear
10,16,100,28,3,2,0.01,1.0064109069777671,-2.0826426072067303e-05,linear
10,16,100,28,3,2,0.01,1.0064334339353738,0.0066737733733095396,linear
10,16,100,28,3,2,0.01,1.0064276610640146,0.0015090818384684089,linear
10,16,100,28,3,2,0.01,1.0064340219608892,0.004312085651760093,linear
10,16,100,28,3,2,0.01,1.0380960975080633,0.012416542493646484,tensorproduct
10,16,100,28,3,2,0.01,1.0381027340297495,0.02307465661578143,tensorproduct
10,16,100,28,3,2,0.01,1.0381058416041622,0.007465139178191749,tensorproduct
10,16,100,28,3,2,0.01,1.0379327541998005,0.02148506870557259,tensorproduct
10,16,100,28,3,2,0.01,1.0379976535237891,0.02229315832187876,tensorproduct
10,16,100,28,3,2,0.01,1.0379580308905754,0.009953866268174986,tensorproduct
10,16,100,28,3,2,0.01,1.0378157354559208,0.0081423190076691,tensorproduct
10,16,100,28,3,2,0.01,1.0378450704490958,0.0037990047130225797,tensorproduct
10,16,100,28,3,2,0.01,1.0380300558771751,0.014414445290202787,tensorproduct
10,16,100,28,3,2,0.01,1.0380751342735843,0.01368498167681005,tensorproduct
