Representation dimensionality,Sentence length,Vocabulary size,Number of rules,Grammar width,Grammar depth,Noise ratio,Compositionality,Topological similarity
10,16,100,19,3,1,0.01,1.008830660197495,0.004311985186019989
10,16,100,19,3,1,0.01,1.0088343977298777,0.0042721912369845325
10,16,100,19,3,1,0.01,1.0088496332268397,0.008015938718119165
10,16,100,19,3,1,0.01,1.0087912171816606,0.0006672161729784404
10,16,100,19,3,1,0.01,1.0088317293623572,0.010477228473246046
10,16,100,19,3,1,0.01,1.0088257020811628,0.0018203319498196389
10,16,100,19,3,1,0.01,1.0088126313751995,0.003833039389496892
10,16,100,19,3,1,0.01,1.0088423061279832,0.0034219231466637275
10,16,100,19,3,1,0.01,1.0088516585027738,0.000326447716818039
10,16,100,19,3,1,0.01,1.0088443147301918,-0.0015037627287023856
10,16,100,28,3,2,0.01,1.006421544098998,0.0023714610517873973
10,16,100,28,3,2,0.01,1.0064314045037328,0.0027436959132250338
10,16,100,28,3,2,0.01,1.0064255466178993,0.0083821752106546
10,16,100,28,3,2,0.01,1.0064069740609454,0.008885950529223637
10,16,100,28,3,2,0.01,1.006423525112612,-0.001948223576886346
10,16,100,28,3,2,0.01,1.0064150387882498,0.00487756005831984
10,16,100,28,3,2,0.01,1.0064109069777671,-2.0826426072067303e-05
10,16,100,28,3,2,0.01,1.0064334339353738,0.0066737733733095396
10,16,100,28,3,2,0.01,1.0064276610640146,0.0015090818384684089
10,16,100,28,3,2,0.01,1.0064340219608892,0.004312085651760093
10,16,100,37,3,3,0.01,1.0050486156383291,0.0014741026375062504
10,16,100,37,3,3,0.01,1.005051344286084,0.006810831717780527
10,16,100,37,3,3,0.01,1.0050481038798948,-0.0034298052088592773
10,16,100,37,3,3,0.01,1.005038292190365,0.0034148405451485107
10,16,100,37,3,3,0.01,1.0050464748249714,-4.866825247437954e-05
10,16,100,37,3,3,0.01,1.0050414114212456,0.0020539921772104097
10,16,100,37,3,3,0.01,1.0050352907618179,0.007130097400668138
10,16,100,37,3,3,0.01,1.0050541709285652,0.0011049988631710128
10,16,100,37,3,3,0.01,1.0050506130321968,-0.0010499560898502445
10,16,100,37,3,3,0.01,1.0050578169313875,0.0019132729472645174
10,16,100,46,3,4,0.01,1.0041555389287666,-0.0004136959744526757
10,16,100,46,3,4,0.01,1.0041591159821965,0.005379371445933289
10,16,100,46,3,4,0.01,1.0041516005086806,0.0023681189152677403
10,16,100,46,3,4,0.01,1.0041494186842965,0.001823400722762804
10,16,100,46,3,4,0.01,1.0041539507854091,-0.0005958393254952839
10,16,100,46,3,4,0.01,1.0041561649748556,0.002055464792714277
10,16,100,46,3,4,0.01,1.0041484590672578,0.005100788045296772
10,16,100,46,3,4,0.01,1.0041645854474017,-0.002761431956505268
10,16,100,46,3,4,0.01,1.0041567316598246,0.00646598273818473
10,16,100,46,3,4,0.01,1.0041633939501955,0.003932465297375004
