Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality,Topological similarity
16,10,64,1,0.01,1.1052787122343661,0.9951101441317367
16,10,64,1,0.01,1.1064578059464993,0.9943103444245687
16,10,64,1,0.01,1.1052193506211825,0.9950447671360223
16,10,64,1,0.01,1.1016066173119763,0.9951275041324461
16,10,64,1,0.01,1.1048984489048035,0.994917392108027
16,10,64,1,0.01,1.1051848207826853,0.9950392809115074
16,10,64,1,0.01,1.1051390762576336,0.9949802280894559
16,10,64,1,0.01,1.1036287298421685,0.994955088988009
16,10,64,1,0.01,1.1061797666812234,0.9949767962241467
16,10,64,1,0.01,1.1046425404817588,0.9950476957227633
16,10,64,2,0.01,1.0510186318279073,0.59035568838838
16,10,64,2,0.01,1.0517960567309896,0.8125411344728994
16,10,64,2,0.01,1.052186604179673,0.6346335041404336
16,10,64,2,0.01,1.0508279891132581,0.4426977156329422
16,10,64,2,0.01,1.0504235036694478,0.540050137608606
16,10,64,2,0.01,1.052112133976441,0.463903284025313
16,10,64,2,0.01,1.0504381442191286,0.4869486690866381
16,10,64,2,0.01,1.050951794547751,0.8277925965881131
16,10,64,2,0.01,1.0520534533371608,0.6579007347571026
16,10,64,2,0.01,1.0518173182626283,0.5998459036931274
16,10,64,4,0.01,1.00900994759113,0.29006423431411166
16,10,64,4,0.01,1.0088343816921792,0.3172551237661714
16,10,64,4,0.01,1.0088192325405791,0.30924787262357323
16,10,64,4,0.01,1.008901754421997,0.37849004415763454
16,10,64,4,0.01,1.0088413472847757,0.31531835763855454
16,10,64,4,0.01,1.0089208670444776,0.33695411964200545
16,10,64,4,0.01,1.0088435808420972,0.38345581619432934
16,10,64,4,0.01,1.008802312462329,0.34475393840891727
16,10,64,4,0.01,1.0088292864831887,0.28015644857647604
16,10,64,4,0.01,1.0089753686999445,0.3051890380763813
16,10,64,8,0.01,1.0002946097402312,0.05575658836989216
16,10,64,8,0.01,1.000294005142981,0.04479650235946267
16,10,64,8,0.01,1.0002948799768636,0.058570944647351755
16,10,64,8,0.01,1.0002941832827879,0.056303606896872145
16,10,64,8,0.01,1.000294209374828,0.04876757772791736
16,10,64,8,0.01,1.0002939653009637,0.04866538075384831
16,10,64,8,0.01,1.0002934044786536,0.05140455783138322
16,10,64,8,0.01,1.000294387261547,0.04860998601781755
16,10,64,8,0.01,1.0002939909279729,0.050925194849593056
16,10,64,8,0.01,1.0002948481320624,0.04096248746948053
16,10,64,16,0.01,1.000000576069952,0.0008149719402536123
16,10,64,16,0.01,1.0000005760759956,0.0008093374319970989
16,10,64,16,0.01,1.000000576034738,0.0015182878307203353
16,10,64,16,0.01,1.0000005760632333,0.0004913596445998788
16,10,64,16,0.01,1.0000005761172064,0.00031510110648708925
16,10,64,16,0.01,1.0000005760609678,0.002199481901295211
16,10,64,16,0.01,1.0000005760672073,0.0009060843051457788
16,10,64,16,0.01,1.0000005760493669,-0.0006311894330381243
16,10,64,16,0.01,1.0000005760654234,0.0009293532818741892
16,10,64,16,0.01,1.0000005761254451,-0.001289717376348627
