Sentence length,Vocabulary size,Representation dimensionality,Disentanglement,Noise ratio,Compositionality
8,2,64,1,0.01,1.04478425477343
8,2,64,1,0.01,1.044805926969344
8,2,64,1,0.01,1.0443773054323577
8,2,64,1,0.01,1.0435641545477155
8,2,64,1,0.01,1.0432296674449861
8,2,64,1,0.01,1.044325557519648
8,2,64,1,0.01,1.044439761985906
8,2,64,1,0.01,1.0456638049497187
8,2,64,1,0.01,1.0457388202360771
8,2,64,1,0.01,1.043895401795886
8,3,64,1,0.01,1.0502828602130376
8,3,64,1,0.01,1.0521952061430502
8,3,64,1,0.01,1.0516162108572955
8,3,64,1,0.01,1.0507555541632254
8,3,64,1,0.01,1.0489795527702281
8,3,64,1,0.01,1.0520376309568829
8,3,64,1,0.01,1.0505849922572914
8,3,64,1,0.01,1.051475271064198
8,3,64,1,0.01,1.0526260325606098
8,3,64,1,0.01,1.0514858645870266
8,4,64,1,0.01,1.0510173561440408
8,4,64,1,0.01,1.0518181615903637
8,4,64,1,0.01,1.0521868979969906
8,4,64,1,0.01,1.0508258909093637
8,4,64,1,0.01,1.0504172514188277
8,4,64,1,0.01,1.0520957519601992
8,4,64,1,0.01,1.0504431598555095
8,4,64,1,0.01,1.05097386924386
8,4,64,1,0.01,1.05204533803038
8,4,64,1,0.01,1.051830611468735
8,5,64,1,0.01,1.0501991017770718
8,5,64,1,0.01,1.0502336138031458
8,5,64,1,0.01,1.0493694857993878
8,5,64,1,0.01,1.0496939097540288
8,5,64,1,0.01,1.0502515824820262
8,5,64,1,0.01,1.0502162990488069
8,5,64,1,0.01,1.04947292501707
8,5,64,1,0.01,1.0500343760976394
8,5,64,1,0.01,1.0505319864402431
8,5,64,1,0.01,1.050062300160137
8,6,64,1,0.01,1.047984617175472
8,6,64,1,0.01,1.0481670402950447
8,6,64,1,0.01,1.047539632198769
8,6,64,1,0.01,1.0483104599170991
8,6,64,1,0.01,1.0480266494165842
8,6,64,1,0.01,1.0487349054532924
8,6,64,1,0.01,1.0483130380247487
8,6,64,1,0.01,1.0481792471166482
8,6,64,1,0.01,1.0481032358974476
8,6,64,1,0.01,1.0465139137818622
8,7,64,1,0.01,1.0450776262223849
8,7,64,1,0.01,1.046374571828875
8,7,64,1,0.01,1.0458535049501185
8,7,64,1,0.01,1.045500598969068
8,7,64,1,0.01,1.0458622714553374
8,7,64,1,0.01,1.0460792253138413
8,7,64,1,0.01,1.045758980403728
8,7,64,1,0.01,1.0459048990189541
8,7,64,1,0.01,1.0459373924073685
8,7,64,1,0.01,1.0454135170421472
8,8,64,1,0.01,1.0436344647229003
8,8,64,1,0.01,1.0434889222227188
8,8,64,1,0.01,1.0437397300110955
8,8,64,1,0.01,1.0445297153740813
8,8,64,1,0.01,1.043624460601276
8,8,64,1,0.01,1.0437493828511046
8,8,64,1,0.01,1.0437601432131751
8,8,64,1,0.01,1.0435086809486436
8,8,64,1,0.01,1.0436402239937033
8,8,64,1,0.01,1.0437478830623448
8,9,64,1,0.01,1.0417371058361322
8,9,64,1,0.01,1.041969112249697
8,9,64,1,0.01,1.0412859613747354
8,9,64,1,0.01,1.041676718616376
8,9,64,1,0.01,1.0416746662013643
8,9,64,1,0.01,1.041470116863789
8,9,64,1,0.01,1.041484421108144
8,9,64,1,0.01,1.0416695593507181
8,9,64,1,0.01,1.0420470496098775
8,9,64,1,0.01,1.0415390150703316
8,10,64,1,0.01,1.0400889149622892
8,10,64,1,0.01,1.0399365418610935
8,10,64,1,0.01,1.0403716422969176
8,10,64,1,0.01,1.0396438495717994
8,10,64,1,0.01,1.04004047456024
8,10,64,1,0.01,1.040028822185612
8,10,64,1,0.01,1.039458289717138
8,10,64,1,0.01,1.039818527459716
8,10,64,1,0.01,1.0391178794322187
8,10,64,1,0.01,1.0394939368076108
8,11,64,1,0.01,1.0377575935836008
8,11,64,1,0.01,1.0381968844032279
8,11,64,1,0.01,1.03852624624586
8,11,64,1,0.01,1.0384219939406474
8,11,64,1,0.01,1.038597382805863
8,11,64,1,0.01,1.038146929903134
8,11,64,1,0.01,1.0375138622736764
8,11,64,1,0.01,1.0385890867439864
8,11,64,1,0.01,1.0382024690986023
8,11,64,1,0.01,1.0384800987707137
8,12,64,1,0.01,1.0364855936807773
8,12,64,1,0.01,1.036246896157339
8,12,64,1,0.01,1.0365427098554798
8,12,64,1,0.01,1.0360305693720806
8,12,64,1,0.01,1.036515714253592
8,12,64,1,0.01,1.0370097082298808
8,12,64,1,0.01,1.036364434368172
8,12,64,1,0.01,1.0365767344478403
8,12,64,1,0.01,1.0365381507808336
8,12,64,1,0.01,1.0367238425855398
8,13,64,1,0.01,1.0349511664426858
8,13,64,1,0.01,1.0347581330763318
8,13,64,1,0.01,1.0353773002546953
8,13,64,1,0.01,1.0351568236483122
8,13,64,1,0.01,1.035891375438877
8,13,64,1,0.01,1.0352955333556961
8,13,64,1,0.01,1.0354684408740735
8,13,64,1,0.01,1.0348409048266514
8,13,64,1,0.01,1.0350635601237228
8,13,64,1,0.01,1.0353612605333888
8,14,64,1,0.01,1.033356264143794
8,14,64,1,0.01,1.0338956153260712
8,14,64,1,0.01,1.0342545915084354
8,14,64,1,0.01,1.0339430204651983
8,14,64,1,0.01,1.0341270624668106
8,14,64,1,0.01,1.0337709356199412
8,14,64,1,0.01,1.0335511608724093
8,14,64,1,0.01,1.0340301301323689
8,14,64,1,0.01,1.0335951308282847
8,14,64,1,0.01,1.03402834351664
8,15,64,1,0.01,1.0325421544996514
8,15,64,1,0.01,1.0326079546945055
8,15,64,1,0.01,1.0323801256667606
8,15,64,1,0.01,1.032262175855792
8,15,64,1,0.01,1.0323986335362374
